coach_id	coach_name	workedfor_id	workedfor_name	role
3	Dennis Allen	140	John Fox	Defensive Coordinator
3	Dennis Allen	289	Jim Mora	Defensive Assistant/Quality Control
3	Dennis Allen	317	Sean Payton	Asst. Defensive Line, Secondary
3	Dennis Allen	338	Dan Reeves	Defensive Assistant/Quality Control
7	Bruce Arians	83	Bill Cowher	Wide Receivers
7	Bruce Arians	91	Butch Davis	Offensive Coordinator
7	Bruce Arians	289	Jim Mora	Tight Ends, Quarterbacks
7	Bruce Arians	310	Chuck Pagano	Offensive Coordinator/Interim Head Coach
7	Bruce Arians	374	Marty Schottenheimer	Running Backs
7	Bruce Arians	431	Mike Tomlin	Offensive Coordinator
7	Bruce Arians	440	Rick Venturi	Tight Ends
9	Neill Armstrong	159	Bud Grant	Defensive Coordinator
10	Bill Arnsparger	355	Bobby Ross	Defensive Coordinator
10	Bill Arnsparger	389	Don Shula	Defensive Coordinator
16	Jim Bates	215	June Jones	Defensive Coordinator
16	Jim Bates	384	Mike Sherman	Defensive Coordinator
16	Jim Bates	450	Dave Wannstedt	Defensive Coordinator
21	Bill Belichick	139	Rick Forzano	Assistant Special Teams
21	Bill Belichick	198	Tommy Hudspeth	Assistant Special Teams/TEs/WRs, Assistant Special Teams
21	Bill Belichick	253	Ted Marchibroda	Special Assistant
21	Bill Belichick	283	Red Miller	Assistant Special Teams/Defensive Assistant
21	Bill Belichick	313	Bill Parcells	Assistant Head Coach/Secondary, Defensive Coordinator, Defensive Coordinator/Secondary, Linebackers
21	Bill Belichick	319	Ray Perkins	Special Teams/Linebackers, Special Teams
28	Tom Bettis	172	Jim Hanifan	Defensive Coordinator
28	Tom Bettis	374	Marty Schottenheimer	Defensive Coordinator
28	Tom Bettis	458	Paul Wiggin	Defensive Coordinator
28	Tom Bettis	461	Bud Wilkinson	Defensive Coordinator
28	Tom Bettis	467	Larry Wilson	Defensive Coordinator
31	Ed Biles	326	Bum Phillips	Defensive Coordinator
32	Brian Billick	160	Dennis Green	Tight Ends, Offensive Coordinator, Offensive Coordinator/Tight Ends
36	Todd Bowles	7	Bruce Arians	Defensive Coordinator
36	Todd Bowles	91	Butch Davis	Secondary (nickel package), Secondary
36	Todd Bowles	164	Al Groh	Secondary
36	Todd Bowles	193	Mike Holmgren	Player Personnel Staff
36	Todd Bowles	313	Bill Parcells	Secondary
36	Todd Bowles	327	Wade Phillips	Secondary
36	Todd Bowles	339	Andy Reid	Secondary/Interim Defensive Coordinator
36	Todd Bowles	400	Tony Sparano	Asst. Head Coach/Secondary, Interim Head Coach/Secondary
37	Gus Bradley	59	Pete Carroll	Defensive Coordinator
37	Gus Bradley	166	Jon Gruden	Defensive Quality Control Asst., Linebackers Coach
37	Gus Bradley	289	Jim Mora	Defensive Coordinator
44	Rich Brooks	338	Dan Reeves	Defensive Coordinator
46	Fred Bruney	56	Marion Campbell	Defensive Coordinator
46	Fred Bruney	318	Pat Peppler	Defensive Coordinator
46	Fred Bruney	319	Ray Perkins	Defensive Coordinator
46	Fred Bruney	464	Richard Williamson	Defensive Coordinator
48	Joe Bugel	148	Joe Gibbs	Offensive Coordinator
48	Joe Bugel	457	Mike White	Offensive Coordinator
49	Hank Bullough	123	Chuck Fairbanks	Defensive Coordinator
49	Hank Bullough	137	Wayne Fontes	Defensive Coordinator
49	Hank Bullough	161	Forrest Gregg	Defensive Coordinator
49	Hank Bullough	204	Lindy Infante	Defensive Coordinator
49	Hank Bullough	407	Kay Stephenson	Defensive Coordinator
